Time;Position; Rotation.X; Rotation.Y;FPS; Input;
58214.0828;(-41.8600, 101.5123, -695.7500);60.8000;20.9000;17.0271;;
58214.1699;(-41.8600, 101.5123, -695.7500);69.4000;22.5000;16.2960;;
58214.2259;(-41.8600, 101.5123, -695.7500);82.4000;24.1000;15.6364;;
58214.2659;(-41.8600, 101.5123, -695.7500);85.0000;24.5000;15.8499;;
58214.3069;(-41.8600, 101.5123, -695.7500);88.3000;24.9000;16.4277;;
58214.3469;(-41.8600, 101.5123, -695.7500);92.1000;25.8000;16.9982;;
58214.3849;(-41.8600, 101.5123, -695.7500);96.6000;26.7000;17.5534;;
58214.4229;(-41.8600, 101.5123, -695.7500);100.3000;27.2000;18.1493;;
58214.4569;(-41.8600, 101.5123, -695.7500);102.6000;27.7000;18.7412;;
58214.4919;(-41.8600, 101.5123, -695.7500);104.5000;28.2000;19.4286;;
58214.5239;(-41.8600, 101.5123, -695.7500);107.3000;29.0000;20.0797;;
58214.5529;(-41.8600, 101.5123, -695.7500);109.1000;29.6000;20.8469;;
58214.5819;(-41.8600, 101.5123, -695.7500);110.7000;30.0000;21.6849;;
58214.6139;(-41.8600, 101.5123, -695.7500);112.6000;30.2000;22.5331;;
58214.6469;(-41.8600, 101.5123, -695.7500);114.6000;30.6000;23.1567;;
58214.6799;(-41.8600, 101.5123, -695.7500);115.8000;30.6000;23.7314;;
58214.7129;(-41.8600, 101.5123, -695.7500);116.2000;30.6000;24.2444;;
58214.7469;(-41.8600, 101.5123, -695.7500);117.0000;30.5000;24.7186;;
58214.7819;(-41.8600, 101.5123, -695.7500);118.5000;29.7000;25.1447;;
58214.8159;(-41.8600, 101.5123, -695.7500);120.9000;27.3000;25.4585;;
58214.8489;(-41.8600, 101.5123, -695.7500);121.6000;23.5000;25.8109;;
58214.8819;(-41.8600, 101.5123, -695.7500);118.0000;17.0000;26.1958;;
58214.9159;(-41.8600, 101.5123, -695.7500);110.9000;10.7000;26.5664;;
58214.9509;(-41.8600, 101.5123, -695.7500);107.1000;6.6000;26.7868;;
58214.9839;(-41.8600, 101.5123, -695.7500);106.0000;4.9000;26.9766;;
58215.0169;(-41.8600, 101.5123, -695.7500);105.9000;4.5000;27.2584;;
58215.0509;(-41.8600, 101.5123, -695.7500);105.9000;4.1000;27.5186;;
58215.0839;(-41.8600, 101.5123, -695.7500);106.6000;3.5000;27.7357;;
58215.1169;(-41.8600, 101.5123, -695.7500);109.1000;3.3000;27.9540;;
58215.1499;(-41.8600, 101.5123, -695.7500);112.5000;3.5000;28.1868;;
58215.1819;(-41.8600, 101.5123, -695.7500);116.4000;4.4000;28.4003;;
58215.2159;(-41.8600, 101.5123, -695.7500);122.1000;6.0000;28.6322;;
58215.2489;(-41.8600, 101.5123, -695.7500);130.1000;8.0000;28.7553;;
58215.2819;(-41.8600, 101.5123, -695.7500);138.8000;10.1000;28.9056;;
58215.3139;(-41.8600, 101.5123, -695.7500);146.5000;12.3000;29.0442;;
58215.3479;(-41.8600, 101.5123, -695.7500);152.0000;13.5000;29.1895;;
58215.3809;(-41.8600, 101.5123, -695.7500);158.4000;14.9000;29.2601;;
58215.4139;(-41.8600, 101.5123, -695.7500);164.7000;16.1000;29.3160;;
58215.4479;(-41.8600, 101.5123, -695.7500);172.3000;17.8000;29.3833;;
58215.4809;(-41.8600, 101.5123, -695.7500);180.8000;19.3000;29.4683;;
58215.5139;(-41.8600, 101.5123, -695.7500);186.7000;19.5000;29.4955;;
58215.5479;(-41.8600, 101.5123, -695.7500);191.8000;19.8000;29.5474;;
58215.5809;(-41.8600, 101.5123, -695.7500);198.1000;20.0000;29.5947;;
58215.6149;(-41.8600, 101.5123, -695.7500);201.7000;20.2000;29.6061;;
58215.6469;(-41.8600, 101.5123, -695.7500);203.9000;20.1000;29.6572;;
58215.6809;(-41.8600, 101.5123, -695.7500);204.9000;19.8000;29.7280;;
58215.7139;(-41.8600, 101.5123, -695.7500);205.4000;19.6000;29.7612;;
58215.7479;(-41.8600, 101.5123, -695.7500);205.6000;19.5000;29.7753;;
58215.7809;(-41.8600, 101.5123, -695.7500);206.1000;19.5000;29.7748;;
58215.8149;(-41.8600, 101.5123, -695.7500);206.8000;19.4000;29.7957;;
58215.8479;(-41.8600, 101.5123, -695.7500);207.2000;19.4000;29.7966;;
58215.8810;(-41.8600, 101.5123, -695.7500);207.2000;19.4000;29.8197;;
58215.9140;(-41.8600, 101.5123, -695.7500);206.7000;19.3000;29.8396;;
58215.9480;(-41.8600, 101.5123, -695.7500);205.3000;19.3000;29.8685;;
58215.9820;(-41.8600, 101.5123, -695.7500);200.3000;19.8000;29.8578;;
58216.0150;(-41.8600, 101.5123, -695.7500);194.4000;20.4000;29.8427;;
58216.0480;(-41.8600, 101.5123, -695.7500);187.6000;21.1000;29.8910;;
58216.0820;(-41.8600, 101.5123, -695.7500);180.7000;21.9000;29.8954;;
58216.1150;(-41.8600, 101.5123, -695.7500);173.0000;22.9000;29.8929;;
58216.1490;(-41.8600, 101.5123, -695.7500);164.1000;23.1000;29.8943;;
58216.1820;(-41.8600, 101.5123, -695.7500);152.3000;23.3000;29.8818;;
58216.2160;(-41.8600, 101.5123, -695.7500);142.0000;23.3000;29.8891;;
58216.2490;(-41.8600, 101.5123, -695.7500);133.3000;22.9000;29.8807;;
58216.2830;(-41.8600, 101.5123, -695.7500);126.9000;21.8000;29.8794;;
58216.3160;(-41.8600, 101.5123, -695.7500);121.8000;20.3000;29.8785;;
58216.3500;(-41.8600, 101.5123, -695.7500);118.5000;19.6000;29.8648;;
58216.3830;(-41.8600, 101.5123, -695.7500);117.4000;19.2000;29.8361;;
58216.4170;(-41.8600, 101.5123, -695.7500);115.9000;19.1000;29.8699;;
58216.4500;(-41.8600, 101.5123, -695.7500);113.7000;19.3000;29.8389;;
58216.4850;(-41.8600, 101.5123, -695.7500);109.4000;19.9000;29.8776;;
58216.5190;(-41.8600, 101.5123, -695.7500);101.7000;20.2000;29.7507;;
58216.5550;(-41.8600, 101.5123, -695.7500);95.6000;20.2000;29.6680;;
58216.5890;(-41.8600, 101.5123, -695.7500);88.6000;20.2000;29.5429;;
58216.6230;(-41.8600, 101.5123, -695.7500);77.3000;21.5000;29.5068;;
58216.6600;(-41.8600, 101.5123, -695.7500);69.3000;22.4000;29.4436;;
58216.6950;(-41.8600, 101.5123, -695.7500);59.5000;22.6000;29.2321;;
58216.7550;(-41.8600, 101.5123, -695.7500);52.1000;23.2000;29.1461;;
58216.8050;(-41.8600, 101.5123, -695.7500);41.5000;23.4000;27.1466;;
58216.8560;(-41.8600, 101.5123, -695.7500);29.8000;24.2000;26.1997;;
58216.9170;(-41.8600, 101.5123, -695.7500);19.4000;25.4000;25.3304;;
58216.9860;(-41.8600, 101.5123, -695.7500);5.7000;29.0000;24.0329;;
58217.0300;(-41.8600, 101.5123, -695.7500);354.1000;31.9000;22.5517;;
58217.0830;(-41.8600, 101.5123, -695.7500);350.0000;33.4000;22.5921;;
58217.1160;(-41.8600, 101.5123, -695.7500);347.7000;34.4000;22.1425;;
58217.1490;(-41.8600, 101.5123, -695.7500);343.9000;36.4000;22.7456;;
58217.1820;(-41.8600, 101.5123, -695.7500);341.0000;38.1000;23.3150;;
58217.2160;(-41.8600, 101.5123, -695.7500);339.0000;39.3000;23.8431;;
58217.2490;(-41.8600, 101.5123, -695.7500);338.0000;39.8000;24.3338;;
58217.2820;(-41.8600, 101.5123, -695.7500);337.9000;39.8000;24.7954;;
58217.3160;(-41.8600, 101.5123, -695.7500);337.2000;39.7000;25.2462;;
58217.3490;(-41.8600, 101.5123, -695.7500);336.0000;39.6000;25.6353;;
58217.3830;(-41.8600, 101.5123, -695.7500);335.6000;39.6000;26.0055;;
58217.4160;(-41.8600, 101.5123, -695.7500);334.2000;38.6000;26.3685;;
58217.4490;(-41.8600, 101.5123, -695.7500);332.3000;36.5000;26.7001;;
58217.4830;(-41.8600, 101.5123, -695.7500);331.9000;33.4000;26.9829;;
58217.5380;(-41.8600, 101.5123, -695.7500);333.0000;29.1000;27.2494;;
58217.5850;(-41.8600, 101.5123, -695.7500);336.8000;20.2000;25.9598;;
58217.6341;(-41.8600, 101.5123, -695.7500);342.8000;14.2000;25.3669;;
58217.6931;(-41.8600, 101.5123, -695.7500);346.8000;10.4000;24.7691;;
58217.7521;(-41.8600, 101.5123, -695.7500);348.8000;8.4000;23.6814;;
58217.8091;(-41.8600, 101.5123, -695.7500);350.5000;7.2000;22.8151;;
58217.8671;(-41.8600, 101.5123, -695.7500);354.8000;5.5000;22.1001;;
58217.9521;(-41.8600, 101.5123, -695.7500);356.6000;4.8000;21.5377;;
58218.0041;(-41.8600, 101.5123, -695.7500);359.7000;5.4000;19.8476;;
58218.0551;(-41.8600, 101.5123, -695.7500);3.0000;6.8000;19.8110;;
58218.1091;(-41.8600, 101.5123, -695.7500);4.9000;7.6000;19.7740;;
58218.2521;(-41.8600, 101.5123, -695.7500);8.2000;8.5000;19.6603;;
58218.2761;(-41.8600, 101.5123, -695.7500);8.4000;8.6000;16.6500;;
